stationbus,stationA,stationB,traveltime,id,stoptime
動物園-南港展覽館,捷運忠孝復興站,捷運大安站,67,15,45
動物園-南港展覽館,捷運大安站,捷運科技大樓站,69,16,30
動物園-南港展覽館,捷運科技大樓站,捷運六張犁站,122,17,25
動物園-南港展覽館,捷運六張犁站,捷運麟光站,72,18,25
動物園-南港展覽館,捷運麟光站,捷運辛亥站,124,19,25
動物園-南港展覽館,捷運辛亥站,捷運萬芳醫院站,106,20,25
動物園-南港展覽館,捷運萬芳醫院站,捷運萬芳社區站,99,21,25
動物園-南港展覽館,捷運萬芳社區站,捷運木柵站,47,22,25
動物園-南港展覽館,捷運木柵站,捷運動物園站,67,23,25
南勢角-蘆洲,捷運蘆洲站,捷運三民高中站,111,1,0
南勢角-蘆洲,捷運三民高中站,捷運徐匯中學站,92,2,25
南勢角-蘆洲,捷運徐匯中學站,捷運三和國中站,82,3,25
南勢角-蘆洲,捷運三和國中站,捷運三重國小站,107,4,25
南勢角-蘆洲,捷運三重國小站,捷運大橋頭站,151,5,25
南勢角-蘆洲,捷運大橋頭站,捷運民權西路站,72,6,26
南勢角-蘆洲,捷運民權西路站,捷運中山國小站,72,7,33
南勢角-蘆洲,捷運中山國小站,捷運行天宮站,96,8,30
南勢角-蘆洲,捷運行天宮站,捷運松江南京站,78,9,30
南勢角-蘆洲,捷運松江南京站,捷運忠孝新生站,102,10,30
南勢角-蘆洲,捷運忠孝新生站,捷運東門站,136,11,38
南勢角-蘆洲,捷運東門站,捷運古亭站,208,12,33
南勢角-蘆洲,捷運古亭站,捷運頂溪站,187,13,33
南勢角-蘆洲,捷運頂溪站,捷運永安市場站,103,14,29
南勢角-蘆洲,捷運永安市場站,捷運景安站,90,15,29
南勢角-蘆洲,捷運景安站,捷運南勢角站,97,16,28
南勢角-迴龍,捷運迴龍站,捷運丹鳳站,168,1,0
南勢角-迴龍,捷運丹鳳站,捷運輔大站,113,2,25
南勢角-迴龍,捷運輔大站,捷運新莊站,137,3,25
南勢角-迴龍,捷運新莊站,捷運頭前庄站,94,4,25
南勢角-迴龍,捷運頭前庄站,捷運先嗇宮站,108,5,25
南勢角-迴龍,捷運先嗇宮站,捷運三重站,142,6,25
南勢角-迴龍,捷運三重站,捷運菜寮站,84,7,25
南勢角-迴龍,捷運菜寮站,捷運台北橋站,97,8,25
南勢角-迴龍,捷運台北橋站,捷運大橋頭站,127,9,25
南勢角-迴龍,捷運大橋頭站,捷運民權西路站,72,10,26
南勢角-迴龍,捷運民權西路站,捷運中山國小站,72,11,33
南勢角-迴龍,捷運中山國小站,捷運行天宮站,96,12,30
南勢角-迴龍,捷運行天宮站,捷運松江南京站,78,13,30
南勢角-迴龍,捷運松江南京站,捷運忠孝新生站,102,14,30
南勢角-迴龍,捷運忠孝新生站,捷運東門站,136,15,38
南勢角-迴龍,捷運東門站,捷運古亭站,208,16,33
南勢角-迴龍,捷運古亭站,捷運頂溪站,187,17,33
南勢角-迴龍,捷運頂溪站,捷運永安市場站,103,18,29
南勢角-迴龍,捷運永安市場站,捷運景安站,90,19,29
南勢角-迴龍,捷運景安站,捷運南勢角站,97,20,28
新北產業園區-大坪林,捷運新北產業園區站,捷運幸福站,135,1,0
新北產業園區-大坪林,捷運幸福站,捷運頭前庄站,95,2,23
新北產業園區-大坪林,捷運頭前庄站,捷運新埔民生站,143,3,35
新北產業園區-大坪林,捷運新埔民生站,捷運板橋站,191,4,25
新北產業園區-大坪林,捷運板橋站,捷運板新站,153,5,40
新北產業園區-大坪林,捷運板新站,捷運中原站,111,6,25
新北產業園區-大坪林,捷運中原站,捷運橋和站,72,7,25
新北產業園區-大坪林,捷運橋和站,捷運中和站,104,8,25
新北產業園區-大坪林,捷運中和站,捷運景安站,194,9,25
新北產業園區-大坪林,捷運景安站,捷運景平站,84,10,35
新北產業園區-大坪林,捷運景平站,捷運秀朗橋站,79,11,25
新北產業園區-大坪林,捷運秀朗橋站,捷運十四張站,111,12,23
新北產業園區-大坪林,捷運十四張站,捷運大坪林站,145,13,23
